CourseID,YearMonth,monthly_enrollments,monthly_revenue,avg_trans_amount,YearMonth_str,Month_num,past_enrollment_lag1,past_revenue_lag1,past_enrollment_roll3,past_revenue_roll3,past_cum_enrollments,past_cum_revenue,past_revenue_per_enrollment,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,PrimaryTeacherID,PrimaryTeacherName,PrimaryTeacherExpertise,PrimaryTeacherExperience,PrimaryTeacherRating,avg_instructor_exp,avg_instructor_rating
CR00001,2025-01,18,8501.039999999999,472.28,2025-01,1,13.818181818181818,6526.050909090909,13.818181818181818,6526.050909090909,0.0,0.0,0.0,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-02,11,5195.08,472.28,2025-02,2,18.0,8501.039999999999,18.0,8501.039999999999,18.0,8501.039999999999,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-03,8,3778.24,472.28,2025-03,3,11.0,5195.08,14.5,6848.0599999999995,29.0,13696.119999999999,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-04,14,6611.92,472.28000000000003,2025-04,4,8.0,3778.24,12.333333333333334,5824.786666666667,37.0,17474.36,472.28000000000003,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-05,17,8028.759999999999,472.28,2025-05,5,14.0,6611.92,11.0,5195.08,51.0,24086.28,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-06,11,5195.08,472.28,2025-06,6,17.0,8028.759999999999,13.0,6139.639999999999,68.0,32115.039999999997,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-07,12,5667.36,472.28,2025-07,7,11.0,5195.08,14.0,6611.919999999999,79.0,37310.119999999995,472.2799999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-08,12,5667.36,472.28,2025-08,8,12.0,5667.36,13.333333333333334,6297.066666666666,91.0,42977.479999999996,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-09,23,10862.439999999999,472.2799999999999,2025-09,9,12.0,5667.36,11.666666666666666,5509.933333333333,103.0,48644.84,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
CR00001,2025-10,13,6139.639999999999,472.28,2025-10,10,23.0,10862.439999999999,15.666666666666666,7399.053333333332,126.0,59507.28,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,16.682926829268293,4.191646341463414
